id,tier,scam_type,brand,message
imc25-001,clean,"banking","HDFC Bank","Dear customer Your HDFC Bank KYC has been expired. Your account will be blocked in 24hrs please update your KYC in click here"
imc25-002,brand-restored,"banking","State Bank of India","Dear Customer Your SBI Bank Account Has Been Suspended for Verification Please State Bank of India By Click Hare Link"
imc25-003,clean,"banking","Santander Bank","SANTANDER: Unusual activity on your account detected, a new payment to RUBY DAVIES, please URGENTLY Confirm or Cancel here:"
imc25-004,clean,"banking","td","Did you attempt a purchase of $200.00 at SHELL*.

Access Card 4724** restricted.

Reply N to protect you card if it wasn't you.

Otherwise, no further action is required.

TD ALERT"
imc25-005,clean,"banking","anz","ANZ: We noticed suspicious activity on your account and had to suspend it, pl..."
imc25-006,clean,"banking","boozt fashion ab","Please approve your card payment of 1239,64 kr. to Boozt Fashion AB."
imc25-007,clean,"banking","wells fargo","We noticed an unauthorized access to your WELLS FARGO account from a blacklisted IP. please review your identity at :"
imc25-008,clean,"banking","","CreditScore Change -ALERT: New items on your report. Verify for free at:"
imc25-009,clean,"banking","State Bank of India","Dear Customer Your State Bank of india Account Will Be Suspended! Please Re KYC Verification Update Click here link"
imc25-010,clean,"banking","State Bank of India","Dear SBI YONO User Your  SBI YONO account will be Block Today. Please click here the link and Update your PAN CARD Number Immediately."
imc25-011,clean,"banking","","Your account has been temporarily suspended due to 3 incorrect login attempts. Visit the secure link to reactivate."
imc25-012,brand-restored,"banking","JP Morgan Chase","JP Morgan Chase-Did You Attempt A Zelle Payment For The Amount of $5000.00? Reply YES or NO Or 1 To Decline Fraud Alerts"
imc25-013,clean,"banking","rksv securities india private","RKSV SECURITIES INDIA PRIVATE reported your Fund bal Rs.-43992.1 & Securities bal 0. This excludes your Bank DP & PMS bal with the broker-NSE"
imc25-014,brand-restored,"banking","hancock whitney bank","Hancock Whitney Bank Fraud Detec Did you authorize this transac REATAILER. hancock whitney bank a To confirm reply YES to this messg or STOP to opt out. Call 1-800-5 HELP for help."
imc25-015,clean,"banking","State Bank of India","Hi SBI Customer Your account is temporarily locked due to suspicious activity. Please click the link below to follow instructions."
imc25-016,clean,"banking","bdo","BDO NOTICE Your BDO Account is on-hold due to security purposes kindly verify here:"
imc25-017,clean,"banking","Barclays","Thanks for letting us know your mobile number has changed. We've updated it on our records. If this change wasn't made by you, please call us or visit your local branch. Your Barclays Team"
imc25-018,clean,"banking","","Your payment of ₹10000 failed. There were insufficient funds in this account to make this payment."
imc25-019,clean,"banking","anz","Update:Dear ANZ Customer, We recommend you update your Online Banking details and reconfirm (PVQ) Personal Verification Questions and answer you have in file with us. Click link below."
imc25-020,clean,"banking","PayPal","PayPal: a new device just signed into your account, if this was not you please follow our secure link and protect your account :"
imc25-021,clean,"banking","HDFC Bank","Mr ___ tried to call you regarding your HDFC bank Regalia card please revert ASAP Thanks"
